Cod_IBGE,Nome_Município,UF,Atributo,Valor
5200050,Abadia de Goiás,GO,2023 - Dívida Consolidada,2477238.86
5200050,Abadia de Goiás,GO,2023 - Receita Corrente Líquida,70429075.35
5200050,Abadia de Goiás,GO,Indicador 1,0.035173525247765444
5200050,Abadia de Goiás,GO,Nota 1,A
3100104,Abadia dos Dourados,MG,2023 - Dívida Consolidada,5810738.43
3100104,Abadia dos Dourados,MG,2023 - Receita Corrente Líquida,35118759.78
3100104,Abadia dos Dourados,MG,Indicador 1,0.16545967074011517
3100104,Abadia dos Dourados,MG,Nota 1,A
5200100,Abadiânia,GO,2023 - Dívida Consolidada,19558761.04
5200100,Abadiânia,GO,2023 - Receita Corrente Líquida,73419881.18
5200100,Abadiânia,GO,Indicador 1,0.26639597784214225
5200100,Abadiânia,GO,Nota 1,A
3100203,Abaeté,MG,2023 - Dívida Consolidada,30527620.78
3100203,Abaeté,MG,2023 - Receita Corrente Líquida,87198482.55
3100203,Abaeté,MG,Indicador 1,0.3500934865752432
3100203,Abaeté,MG,Nota 1,A
1500107,Abaetetuba,PA,2023 - Dívida Consolidada,3074039.62
1500107,Abaetetuba,PA,2023 - Receita Corrente Líquida,470031623.45
1500107,Abaetetuba,PA,Indicador 1,0.00654006978814906
1500107,Abaetetuba,PA,Nota 1,A
2300101,Abaiara,CE,2023 - Dívida Consolidada,15251550.97
2300101,Abaiara,CE,2023 - Receita Corrente Líquida,51748479.37
2300101,Abaiara,CE,Indicador 1,0.2947246210067718
2300101,Abaiara,CE,Nota 1,A
2900108,Abaíra,BA,2023 - Dívida Consolidada,20269629.52
2900108,Abaíra,BA,2023 - Receita Corrente Líquida,31616891.59
2900108,Abaíra,BA,Indicador 1,0.6411012753198994
2900108,Abaíra,BA,Nota 1,B
2900207,Abaré,BA,2023 - Dívida Consolidada,31933865.71
2900207,Abaré,BA,2023 - Receita Corrente Líquida,77458458.46
2900207,Abaré,BA,Indicador 1,0.4122708655051641
2900207,Abaré,BA,Nota 1,A
4100103,Abatiá,PR,2023 - Dívida Consolidada,15273663.86
4100103,Abatiá,PR,2023 - Receita Corrente Líquida,36522958.25
4100103,Abatiá,PR,Indicador 1,0.4181935032603773
4100103,Abatiá,PR,Nota 1,A
4200051,Abdon Batista,SC,2023 - Dívida Consolidada,3479320.49
4200051,Abdon Batista,SC,2023 - Receita Corrente Líquida,31093400.77
4200051,Abdon Batista,SC,Indicador 1,0.11189900119761008
4200051,Abdon Batista,SC,Nota 1,A
1500131,Abel Figueiredo,PA,2023 - Dívida Consolidada,2850544.73
1500131,Abel Figueiredo,PA,2023 - Receita Corrente Líquida,32335909.32
1500131,Abel Figueiredo,PA,Indicador 1,0.08815415400230965
1500131,Abel Figueiredo,PA,Nota 1,A
4200101,Abelardo Luz,SC,2023 - Dívida Consolidada,8935991.3
4200101,Abelardo Luz,SC,2023 - Receita Corrente Líquida,106350782.56
4200101,Abelardo Luz,SC,Indicador 1,0.08402374749766017
4200101,Abelardo Luz,SC,Nota 1,A
3100302,Abre Campo,MG,2023 - Dívida Consolidada,18658583.18
3100302,Abre Campo,MG,2023 - Receita Corrente Líquida,55445570.71
3100302,Abre Campo,MG,Indicador 1,0.33652071646247467
3100302,Abre Campo,MG,Nota 1,A
2600054,Abreu e Lima,PE,2023 - Dívida Consolidada,13229622.47
2600054,Abreu e Lima,PE,2023 - Receita Corrente Líquida,237144690.09
2600054,Abreu e Lima,PE,Indicador 1,0.0557871334373085
2600054,Abreu e Lima,PE,Nota 1,A
1700251,Abreulândia,TO,2023 - Dívida Consolidada,2771517.88
1700251,Abreulândia,TO,2023 - Receita Corrente Líquida,24588304.42
1700251,Abreulândia,TO,Indicador 1,0.11271691746852057
1700251,Abreulândia,TO,Nota 1,A
3100401,Acaiaca,MG,2023 - Dívida Consolidada,1055790.45
3100401,Acaiaca,MG,2023 - Receita Corrente Líquida,24873779.32
3100401,Acaiaca,MG,Indicador 1,0.04244592011601074
3100401,Acaiaca,MG,Nota 1,A
2100055,Açailândia,MA,2023 - Dívida Consolidada,14719577.12
2100055,Açailândia,MA,2023 - Receita Corrente Líquida,459981762.61
