Cod_IBGE;concessionaria;ano_do_pnv_snv;rodovia_uf;municipio;sentido;km_m_inicial;latitude_inicial;latitude_final;km_m_final;longitude_inicial;longitude_final
3118601;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Contagem;Crescente/Decrescente;478,201;-19,961249;-19,959007;481,9;-44,037403;-44,069325
3106705;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Betim;Crescente/Decrescente;481,901;-19,959007;-20,039118;506,4;-44,069325;-44,256533
3162922;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;São Joaquim de Bicas;Crescente/Decrescente;506,401;-20,039118;-20,060577;510,9;-44,256533;-44,291346
3130101;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Igarapé;Crescente/Decrescente;510,901;-20,060577;-20,117748;520,9;-44,291346;-44,302702
3109006;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Brumadinho;Crescente/Decrescente;520,901;-20,117748;-20,162374;529,8;-44,302702;-44,346589
3155306;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Rio Manso;Crescente/Decrescente;529,801;-20,162374;-20,16307;530,35;-44,346589;-44,351514
3133709;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Itatiaiuçu;Crescente/Decrescente;530,351;-20,16307;-20,269841;546;-44,351514;-44,424374
3155306;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Rio Manso;Crescente/Decrescente;546,001;-20,269841;-20,291459;549;-44,424374;-44,436505
3133709;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Itatiaiuçu;Crescente/Decrescente;549,001;-20,291459;-20,299968;550,1;-44,436505;-44,441244
3132206;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Itaguara;Crescente/Decrescente;550,101;-20,299968;-20,465132;577,3;-44,441244;-44,577584
3114501;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Carmópolis de Minas;Crescente/Decrescente;577,301;-20,465132;-20,610337;602,1;-44,577584;-44,735001
3145604;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Oliveira;Crescente/Decrescente;602,101;-20,610337;-20,85886;634,85;-44,735001;-44,836666
3159902;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Santo Antônio do Amparo;Crescente/Decrescente;634,851;-20,85886;-21,041685;664,6;-44,836666;-45,000712
3149903;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Perdões;Crescente/Decrescente;664,601;-21,041685;-21,129227;680,2;-45,000712;-45,101079
3154705;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Ribeirão Vermelho;Crescente/Decrescente;680,201;-21,129227;-21,13433;680,85;-45,101079;-45,104155
3149903;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Perdões;Crescente/Decrescente;680,851;-21,13433;-21,155972;683,65;-45,104155;-45,114804
3154705;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Ribeirão Vermelho;Crescente/Decrescente;683,651;-21,155972;-21,168171;685,6;-45,114804;-45,126527
3138203;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Lavras;Crescente/Decrescente;685,601;-21,168171;-21,329983;706,82;-45,126527;-45,170002
3144607;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Nepomuceno;Crescente/Decrescente;706,821;-21,329983;-21,356189;710,37;-45,170002;-45,183921
3113909;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Carmo da Cachoeira;Crescente/Decrescente;710,371;-21,356189;-21,552263;736,45;-45,183921;-45,244597
3169307;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Três Corações;Crescente/Decrescente;736,451;-21,552263;-21,704261;761,45;-45,244597;-45,369685
3110905;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Campanha;Crescente/Decrescente;761,451;-21,704261;-21,836371;783,75;-45,369685;-45,507142
3162005;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;São Gonçalo do Sapucaí;Crescente/Decrescente;783,751;-21,836371;-21,98665;808,15;-45,507142;-45,652743
3113602;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Careaçu;Crescente/Decrescente;808,151;-21,98665;-22,108592;827,14;-45,652743;-45,741583
3164407;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;São Sebastião da Bela Vista;Crescente/Decrescente;827,141;-22,108592;-22,212473;846,65;-45,741583;-45,867524
3152501;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Pouso Alegre;Crescente/Decrescente;846,651;-22,212473;-22,406545;872,13;-45,867524;-45,96088
3124500;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Estiva;Crescente/Decrescente;872,131;-22,406545;-22,519389;887,3;-45,96088;-46,022134
3110608;AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Cambuí;Crescente/Decrescente;887,301;-22,519389;-22,685864;908,9;-46,022134;-46,102572
