Cod_IBGE,Número Licitação,Código UG,Nome UG,Código Modalidade Compra,Modalidade Compra,Número Processo,Objeto,Situação Licitação,Código Órgão Superior,Nome Órgão Superior,Código Órgão,Nome Órgão,UF,Município,Data Resultado Compra,Data Abertura,Valor Licitação
1501402.0,12023,130094,SUPERINT.DE AGRICULTURA E PECUARIA - SFA/PA,5,Pregão,21030.002858/2023,"Objeto: Pregão Eletrônico - Contratação de empresa especializada para prestação de serviços comuns de engenharia descontinuados de manutenção predial corretiva e preventiva, com fornecimento de mão de obra e materiais, os serviços serão realizados sob demanda, com aporte financeiro parcial (a execução será realizada através de pequenas empreitadas, um, dois ou mais prédios, conforme a disponibilização dos valores destinados), para atender as necessidades da Sede da Superintendência Federal de Agricultura-",Evento de Adiamento Publicado,22000,Ministério da Agricultura e Pecuária,22000,Ministério da Agricultura e Pecuária - Unid,PA,BELEM,2024-01-17,2023-12-26,170612.0
1600303.0,12023,135008,EMBRAPA/CPAF-AMAPA,7,Inexigibilidade de Licitação,21157000000000000,Objeto: Aquisição de serviço para atualização do Sistema Informatizado para Laboratórios de Análises (SILAS) para a Embrapa Amapá.,Encerrado,22000,Ministério da Agricultura e Pecuária,22202,Empresa Brasileira de Pesquisa Agropecuária,AP,MACAPA,2024-01-08,,26636.45
3304557.0,12023,135020,EMBRAPA/CTAA,7,Inexigibilidade de Licitação,21152.001449/2023,Objeto: Aquisição de Insumos para Utilização no Analisador Automático de Fibra Alimentar da Embrapa Agroindústria de Alimentos,Publicado,22000,Ministério da Agricultura e Pecuária,22202,Empresa Brasileira de Pesquisa Agropecuária,RJ,RIO DE JANEIRO,2024-01-02,,100061.6
5300108.0,12023,135039,EMBRAPA/CPAC,7,Inexigibilidade de Licitação,21167.001652/2023,Objeto: Aquisição de Selo GFP para Equipamento Shimatzu da Embrapa Cerrados,Encerrado,22000,Ministério da Agricultura e Pecuária,22202,Empresa Brasileira de Pesquisa Agropecuária,DF,BRASILIA,2024-01-08,,3097.5
3300258.0,12023,152237,CAMPUS ARRAIAL DO CABO,9999,Pregão - Registro de Preço,23826000000000000,Objeto: Pregão Eletrônico - Contratação de empresa para fornecimento de Becas para formatura dos alunos,Publicado,26000,Ministério da Educação,26433,Instituto Federal do Rio de Janeiro,RJ,ARRAIAL DO CABO,2024-01-18,2024-01-08,11890.0
2408300.0,12023,152757,INSTITUTO FEDERAL DO RN - CAMPUS NOVA CRUZ,9999,Pregão - Registro de Preço,23426000000000000,Objeto: Pregão Eletrônico - Aquisição de material de consumo de vidrarias e artigos gerais de laboratório para desenvolvimento das atividades do setor de Laboratórios do IFRN Campus Nova Cruz.,Evento de Resultado de Julgame,26000,Ministério da Educação,26435,Instituto Federal do Rio Grande do Norte,RN,NOVA CRUZ,2024-01-15,2023-10-30,0.0
2304400.0,12023,153045,UNIVERSIDADE FEDERAL DO CEARA,3,Concorrência,25109/2021-13,Objeto: Contratação da Obra de Construção do Galpão de Laboratórios do Campus de Crateús/UFC,Evento de Resultado de Julgame,26000,Ministério da Educação,26233,Universidade Federal do Ceará,CE,FORTALEZA,2024-01-16,,4390280.88
1304203.0,12023,155440,IFAM - CAMPUS TEFE,9999,Pregão - Registro de Preço,23754000000000000,"Objeto: Pregão Eletrônico - Contratação de empresa especializada na prestação de serviço comum de caráter continuado com dedicação exclusiva de mão de obra, formado por grupo único, composto por dois itens: posto de cozinheiro e auxiliar de cozinha. Para o Campus Tefé do IFAM, incluindo o fornecimento de insumo e equipamentos.",Publicado,26000,Ministério da Educação,26403,Instituto Federal do Amazonas,AM,TEFE,2024-01-02,2023-12-12,100444.08
2413508.0,12023,155821,INST.FED.BAIANO / CAMPUS SERRINHA,9999,Pregão - Registro de Preço,23790300000000000,Objeto: Pregão Eletrônico - Pregão Eletrônico SRP 01/2023 - Registro de Preços para eventual aquisição de equipamentos/materiais diversos para o IF Baiano - Campus Serrinha,Publicado,26000,Ministério da Educação,26404,Instituto Federal Baiano,BA,SERRINHA,2024-01-19,2023-12-19,5185.74
2207702.0,12023,156680,UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA,9999,Pregão - Registro de Preço,23855000000000000,"Objeto: Pregão Eletrônico - Contratação de empresa especializada na prestação de serviços continuados de vigia e vigilância patrimonial armada no campus da Universidade Federal do Delta do Parnaíba - UFDPAR, que compreenderá, além da mão de obra e dos uniformes, o emprego de todos os equipamentos e EPI s, armamento, necessários a execução do serviço, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.",Evento de Alteração Divulgad,26000,Ministério da Educação,26455,Universidade Federal do Delta do Parnaíba,PI,PARNAIBA,2024-01-26,2023-04-20,2062431.0
4202404.0,12023,158125,INSTITUTO FEDERAL CATARINENSE - REITORIA,3,Concorrência,23514000000000000,"Objeto: Contratação de serviços de publicidade prestados por intermédio de agência de propaganda, compreendendo o conjunto de atividades realizadas integradamente que tenham por objetivo o estudo, o planejamento, a conceituação, a concepção, a criação, a execução interna, a intermediação e supervisão da execução externa e a distribuição de ações publicitárias junto a públicos de interesse.",Evento de Resultado de Julgame,26000,Ministério da Educação,26422,Instituto Federal Catarinense,SC,BLUMENAU,2024-01-02,,160000.0
2504009.0,12023,158195,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,2,Tomada de Preços,23096100000000000,"Objeto: Contratação de empresa especializada no ramo da construção civil para Reforma e Implantação de um Elevador de Passageiros no Bloco BG - Campus Campina Grande-PB, conforme edital e seus anexos.",Evento de Resultado de Julgame,26000,Ministério da Educação,26252,Universidade Federal de Campina Grande,PB,CAMPINA GRANDE,2024-01-05,,397990.23
,12023,158295,IFMA/CAMPUS ACAILANDIA,9999,Pregão - Registro de Preço,23249000000000000,"Objeto: Pregão Eletrônico - Registro de preço para a eventual contratação de serviços de sucção/ desentupimento e limpeza de fossa séptica, caixa de gordura e esgoto, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.",Evento de Suspensão Publicado,26000,Ministério da Educação,26408,Instituto Federal do Maranhão,MA,ACAILANDIA,2024-01-25,2024-01-15,87750.0
2402006.0,12023,158370,INST.FED. DO RN/CAMPUS CAICO,5,Pregão,23139000000000000,"Objeto: Pregão Eletrônico - Contratação de serviços de auxiliar de cozinha, com fornecimento de material, para o Instituto Federal do Rio Grande do Norte - IFRN Campus Avançado de Jucurutu , a serem executados com regime de dedicação exclusiva de mão de obra.",Evento de Resultado de Julgame,26000,Ministério da Educação,26435,Instituto Federal do Rio Grande do Norte,RN,CAICO,2024-01-17,2023-12-14,37088.64
1506807.0,12023,158518,INST.FED.DO PARA/CAMPUS SANTAREM,3,Concorrência,2305120000000000,Objeto: Contratação de empresa especializada para execução de construção de bloco salas de aula do IFPA campus Santarém.,Evento de Resultado de Julgame,26000,Ministério da Educação,26416,Instituto Federal do Pará,PA,SANTAREM,2024-01-18,,3528372.37
1303403.0,12023,158560,IFAM - CAMPUS PARINTINS,5,Pregão,23443000000000000,"Objeto: Pregão Eletrônico - Aquisição de Gêneros Alimentícios, para o atendimento ao Programa Nacional de Alimentação Escolar  PNAE, destinado à alimentação dos alunos da rede de educação básica pública, matriculados no Instituto Federal de Educação, Ciência e Tecnologia do Amazonas, Campus Parintins, no período do 2º semestre de 2023 até o final do 1º semestre de 2024, conforme condições, quantidades e exigências estabelecidas neste instrumento e demais anexos.",Publicado,26000,Ministério da Educação,26403,Instituto Federal do Amazonas,AM,PARINTINS,2024-01-03,2024-01-02,115849.57
2913606.0,12023,158587,INST. FED. DA BAHIA/CAMPUS ILHEUS,9999,Pregão - Registro de Preço,23461000000000000,"Objeto: Pregão Eletrônico - Contratação de empresa especializada na prestação de serviços continuados de administração, gerenciamento e controle de aquisições dos seguintes combustíveis: gasolina comum, álcool hidratado, diesel comum e/ou diesel S10, em rede de postos credenciados, compreendendo administração e gerenciamento informatizado, com uso de cartões magnéticos ou com chip como meio de intermediação do pagamento, pelo fornecimento de combustíveis, a fim de atender as demandas do IFBA Campus Ilhéu",Evento de Alteração Publicad,26000,Ministério da Educação,26427,Instituto Federal da Bahia,BA,ILHEUS,2024-01-16,2023-12-07,0.0
1300409.0,12023,160137,3º BATALHAO DE INFANTARIA DE SELVA,9999,Pregão - Registro de Preço,65296000000000000,Objeto: Pregão Eletrônico - Aquisição de medicamentos,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,AM,BARCELOS,2024-01-04,2023-11-27,0.0
2208007.0,12023,160202,3º BATALHAO DE ENGENHARIA DE CONSTRUCAO,9999,Pregão - Registro de Preço,64041000000000000,Objeto: Pregão Eletrônico - Contratação de empresa especializada na prestação de serviços de manutenção de equipamentos industriais do Setor de Aprovisionamento,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,PI,PICOS,2024-01-17,2023-04-11,18206.67
3304557.0,12023,160277,31 GRUPO DE ARTILHARIA DE CAMPANHA (ES),9999,Pregão - Registro de Preço,64562000000000000,Objeto: Pregão Eletrônico - Aquisição de aparelhos de ar condicionado para o 31º GAC (Es) e demais Organizações Militares (OM) participantes do Grupo de Coordenação e Acompanhamento de Licitações e Contratos da 1ª Divisão de Exército e Guarnição da Vila Militar (GCALC 1ª DE/Gu VM). IRP DESTINADA SOMENTE AOS PARTICIPANTES DO GCALC 1ª DE/Gu VM. Processo nº 64562.011323/2023-41.,Evento de Suspensão Publicado,52000,Ministério da Defesa,52121,Comando do Exército,RJ,RIO DE JANEIRO,2024-01-19,2023-12-19,0.0
2408102.0,12023,160345,HOSPITAL DE GUARNICAO DE NATAL,2,Tomada de Preços,64592000000000000,"Objeto: Contratação de empresa especializada para a obra para adequação do depósito externo de resíduos hospitalares, do Hospital de Guarnição de Natal  HGuN conforme condições, quantidades e exigências estabelecidas em Projeto Básico e seus apêndices.",Publicado,52000,Ministério da Defesa,52121,Comando do Exército,RN,NATAL,2024-01-25,,170476.45
4314902.0,12023,160389,8 BATALHAO LOGISTICO,5,Pregão,64129000000000000,Objeto: Pregão Eletrônico - Cessão de Uso para funcionamento de atividade de apoio barbearia.,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,RS,PORTO ALEGRE,2024-01-09,2023-03-30,0.0
4314902.0,12023,160391,CENTRO DE PREPARACAO OFICIAIS RESERVA/PA,9999,Pregão - Registro de Preço,64214000000000000,Objeto: Pregão Eletrônico - Eventual Aquisição de Materiais de Higiene e Limpeza,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,RS,PORTO ALEGRE,2024-01-22,2023-09-27,7200.39
1504208.0,12023,160520,23º BATALHAO LOGISTICO DE SELVA,2,Tomada de Preços,64330000000000000,Objeto: Construção do pátio de manobras do 23¿ Batalhão Logístico de Selva.,Evento de Resultado de Julgame,52000,Ministério da Defesa,52121,Comando do Exército,PA,MARABA,2024-01-23,,213505.92
3106200.0,12023,170088,SUPERINTENDENCIA REGIONAL DA RFB NA 6A RF,2,Tomada de Preços,13031500000000000,"Objeto: Contratação de pessoa jurídica para execução de obra de reforma em imóvel jurisdicionado ao Tribunal Regional do Trabalho em Montes Claros para nele fazer abrigar a nova sede da Delegacia da Receita Federal do Brasil em Montes Claros, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos",Evento de Resultado de Julgame,25000,Ministério da Fazenda,25000,Ministério da Fazenda - Unidades com víncul,MG,BELO HORIZONTE,2024-01-16,,1066000.0
3550308.0,12023,170133,SUPERINTENDENCIA REGIONAL DA RFB NA 8A RF,3,Concorrência,10752700000000000,"Objeto: Contratação de serviços de engenharia - reforma do sistema de resfriamento da água de refrigeração dos self containeds do prédio RFB localizado na Rua Avanhandava, São Paulo/Capital.",Publicado,25000,Ministério da Fazenda,25000,Ministério da Fazenda - Unidades com víncul,SP,SAO PAULO,2024-01-22,,240000.0
5300108.0,12023,194035,FUNDACAO NACIONAL DOS POVOS INDIGENAS,5,Pregão,8620010000000000,"Objeto: Pregão Eletrônico - Contratação de serviços de agenciamento de viagens, compreendendo passagens aéreas nacionais, internacionais e seguro-viagem, e passagens terrestres para transporte rodoviário intermunicipal e interestadual., em atendimento às demandas da Fundação Nacional dos Povos Indígenas.",Publicado,84000,Ministério dos Povos Indígenas,30202,Fundação Nacional do Índio,DF,BRASILIA,2024-01-23,2023-12-05,6932967.09
2611606.0,12023,343005,"SUPERINTENDENCIA DO IPHAN PERNAMBUCO,IPHAN-PE",3,Concorrência,01498.001090/2023,Objeto: Contratação de empresa especializada para execução das obras de consolidação das Ruínas da Igreja da Misericórdia e urbanização do entorno em Igarassu - PE,Publicado,42000,Ministério da Cultura,20411,Instituto do Patrimônio Histórico e Artíst,PE,RECIFE,2024-01-18,,588120.11
3205200.0,12023,373057,SUPERINT. REGIONAL DO ESPIRITO SANTO - SR(ES),5,Pregão,54000100000000000,Objeto: Pregão Eletrônico - Serviços terceirizados de manutenção predial corretiva e preventiva e de apoio administrativo com dedicação de mão de obra exclusiva.,Publicado,49000,Ministério do Desenvolvimento Agrário e Agr,22201,Instituto Nacional de Colonização e Reforma,ES,VILA VELHA,2024-01-09,2023-12-29,379229.85
5208707.0,12023,373080,SUPERINTENDENCIA REGIONAL DE GOIAS - SR(GO),5,Pregão,54000100000000000,"Objeto: Pregão Eletrônico - Contratação de empresa especializada na prestação dos serviços continuados de serviços de limpeza, conservação e copeiragem, com fornecimento de uniformes, equipamentos e materiais necessários à execução dos serviços, visando atender à demanda da Superintendência Regional do INCRA em Goiás, conforme condições, quantidades e exigências estabelecidas no TR (SEI 18467731):",Publicado,49000,Ministério do Desenvolvimento Agrário e Agr,22201,Instituto Nacional de Colonização e Reforma,GO,GOIANIA,2024-01-19,2023-12-06,336894.62
2111300.0,12023,784320,CAPITANIA DOS PORTOS DO MARANHAO,9999,Pregão - Registro de Preço,63036000000000000,"Objeto: Pregão Eletrônico - Contratação de serviço Telefonia Móvel Pessoal (SMP), Telefonia fixa e Modens para comunicação de voz e dados, com fornecimento de aparelhos em comodato, a fim de atender as necessidades administrativas da Capitania dos Portos do Maranhão (CPMA) e Agência Fluvial de Imperatriz (AgImperatriz).",Publicado,52000,Ministério da Defesa,52131,Comando da Marinha,MA,SAO LUIS,2024-01-09,2024-01-09,0.0
3304557.0,22020,741000,ARSENAL DE MARINHA_DO RIO DE JANEIRO,6,Dispensa de Licitação,C-2-20006/2020,Objeto: Aquisição de Cunho de Aço Inox e Filme Desmoldante,Encerrado,52000,Ministério da Defesa,52131,Comando da Marinha,RJ,RIO DE JANEIRO,2024-01-22,2020-02-06,636.6
3205309.0,22023,114619,SUPERINTENDENCIA ESTADUAL DO IBGE NO ES,5,Pregão,3632000000000000,"Objeto: Pregão Eletrônico - O objeto da presente licitação é a prestação do serviço de locação de veículos, com rastreamento/monitoramento on-line, sem motorista, para o transporte de passageiros e/ou materiais, com finalidade de atender as demandas da Superintendência Estadual do IBGE no Espírito Santo, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.",Publicado,47000,Ministério do Planejamento e Orçamento,25205,Fundação Instituto Brasileiro de Geografia ,ES,VITORIA,2024-01-22,2024-01-22,587290.0
